content,title,Cat
"Craft Beer Merger, New Whole Foods: MA Food Week","MASSACHUSETTS — Welcome to Patch's weekly round up of food and restaurant news in Massachusetts, where we review openings, closings and more in the state's dining scene.

This week provided big news in the Massachusetts craft beer space as the parent comp... [1568 symbols]",No Sale
"A year after his acquittal, Sarah Turney grills her father on her sister’s murder","The last time Sarah Turney saw her father Michael Turney was in a Maricopa County courtroom when she testified against him during his trial for the murder of her sister Alissa.

Now she’s sat down with him to get answers for herself.

Arizona teenager Ali... [9678 symbols]",No Sale
Fullscript acquires specialty lab test company Rupa Health,"Zoom in: The combined company is EBITDA-positive and approaching $1 billion in revenue, Braatz says. He declines to disclose terms of the deal.

How it works: Rupa, which raised $20 million in 2002 from Bessemer Ventures, is a specialty lab-ordering platf... [2093 symbols]",Sale
Whalar Group Acquires U.K. Creator Management Company Sixteenth,"Sixteenth, which was founded in 2017 to manager creators and extend their professional lives, will merge with Whalar’s own talent agency, Whalar Talent, although retain its original name.

The result will be a 360 management company that enables creators ... [2251 symbols]",Sale
EBRD and IFC to provide $435 mln for Ukraine's newly merged telecoms firm,"KYIV, Oct 10 (Reuters) - The European Bank for Reconstruction and Development and the International Finance Corporation will fund Ukraine's newly merged telecoms company with $435 million, the lenders said on Thursday.

The project is the largest direct f... [3355 symbols]",Sale
Growing a Firm Through Acquisitions: How Jaime Benedetti & Bob Gucer Identified Opportunities in Financial Services,"Growing a business through acquisitions is one of the most efficient strategies for expanding market reach, obtaining new clients, and increasing assets under management. It enables a firm to expedite its growth by integrating established books of busines... [6428 symbols]",No Sale
Why Madeleine McCann’s family might never get justice after the prime suspect’s acquittal,"Christian Brückner was placid and silent as he was cleared of all charges against him at a district court in Braunschweig, northern Germany this week. The 47-year-old remains the prime suspect in the disappearance of Madeleine McCann, but being acquitted ... [12743 symbols]",No Sale
Cleveland-Cliffs clears three hurdles in acquisition of Canadian steelmaker,"CLEVELAND, Ohio — Cleveland-Cliffs’ latest acquisition has gotten the OK from both the U.S. and Canadian governments, and the company has secured more debt to finance its next steps.

Cliffs announced in July that it would buy Canadian steelmaker Stelco f... [308 symbols]",No Sale
Brazilian startup Asaas raised R$820M to fund acquisitions,"Asaas, a Brazilian startup providing financial software to small and mid-size businesses, has raised 820 million Brazilian reais (~$148.1 million) in Series C funding. Why it matters: The money will be used in part to fund M&A to complement and expand the... [2112 symbols]",No Sale
"A24 Acquires ‘Pillion,’ Alexander Skarsgard and Harry Melling’s Kinky Queer Romance","A24 has bought U.S. distribution right to “Pillion,” a film described as a “fun and filthy romance with heart” and starring Alexander Skarsgard (“The Northman,” “Succession”) and Harry Melling (“The Pale Blue Eye,” “The Queen’s Gambit”).

Produced by mult... [2530 symbols]",No Sale
"‘Shogun’ Star Hira Takehiro, Carlo Aquino’s ‘Crosspoint’ Acquired by Netflix From Fire and Ice Media at Busan ACFM","Philippines-based Fire and Ice Media has sold Asia Pacific rights for Donie Ordiales’ “Crosspoint” to Netflix. The deal was struck at the recently-concluded Asian Contents & Film Market (ACFM), adjacent to the Busan International Film Festival.

The film ... [2702 symbols]",No Sale
San Francisco Unified names schools slated for possible closure or merger,"San Francisco Unified names schools slated for possible closure or merger Amid a major budget shortfall, the San Francisco Unified School District on Tuesday released a list of more than a dozen schools facing potential closure or merger with another scho... [280 symbols]",No Sale
SFUSD announces schools slated for possible closure or merger amid shortfall,"Amid a major budget shortfall, the San Francisco Unified School District on Tuesday released a list of more than a dozen schools facing potential closure or merger with another school.

In a statement Tuesday, school superintendent Matt Wayne announced 11... [2528 symbols]",No Sale
Grocery store merger trial continues in Colorado,Some Colorado officials believe the proposed merger would mean customers would end up paying more for groceries because of the limited competition.,No Sale
Cleveland-area wealth management firm MAI Capital Management grows with East Coast acquisition,"INDEPENDANCE, Ohio - A Cleveland-based wealth management firm that has been growing rapidly through acquisitions is bulking up in Greater Washington.

MAI Capital Management LLC announced Monday it has acquired Halpern Financial, an Ashburn, Virginia, inv... [1000 symbols]",Sale
"Vuelta Acquires WW Entertainment, One of Benelux’s Largest Distributors","Pan-European indie group Vuelta, which recently bought Telepool in Germany, has completed another strategic acquisition with WW Entertainment, one of Benelux’s largest distributors.

With offices in Amsterdam and in Belgium, WW Entertainment (previously e... [3572 symbols]",Sale
Body Horror Feature ‘Grafted’ Sold to Further Key International Territories Following Acquisition by Shudder,"Mister Smith Entertainment has revealed further sales of the body horror feature “Grafted” to multiple territories following this weekend’s Spanish premiere screening at Sitges Film Festival, and the announcement of Shudder’s North America and U.K. and Ir... [2620 symbols]",No Sale
Christian Brueckner 'will be delighted' after rape trial acquittal,"Christian Brueckner, 47, will 'delighted' to hear about his rape trial acquittal and could soon be allowed to visit a cafe once a week once his managed release from prison begins, his lawyer has revealed.

It comes as the prime suspect in the disappearanc... [14416 symbols]",No Sale
Exclusive: Infinite Reality acquires Zappar for $45M,"Infinite Reality has acquired Zappar, a London-based extended reality (XR) platform and creative studio, for $45 million, Axios has learned. Why it matters: The deal shows that the metaverse is still ticking, even with all of the attention and investment ... [2340 symbols]",Sale
Germany acquits suspect in British toddler disappearance case of unrelated sexual crimes,"BRUNSWICK, Germany — A suspect in the disappearance of British toddler Madeleine McCann was acquitted of unrelated sexual abuse charges by a court in the German city of Brunswick on Tuesday.

Christian Brueckner has been formally identified as a suspect i... [1602 symbols]",No Sale
"Christian Brueckner, suspect in Maddie McCann case, acquitted on unrelated rape, sex abuse charges in Germany","Braunschweig, Germany — A court in Germany has acquitted a man identified as the only suspect in the nearly two-decade-old unsolved disappearance of British toddler Madeleine McCann on a number of unrelated sexual offense charges, but Christian Brueckner ... [3393 symbols]",No Sale
Only suspect in Maddie McCann case acquitted of unrelated rape charges,"Braunschweig, Germany — A court in Germany has acquitted a man identified as the only suspect in the nearly two-decade-old unsolved disappearance of British toddler Madeleine McCann on a number of unrelated sexual offense charges, but Christian Brueckner ... [3393 symbols]",No Sale
Madelaine McCann suspect acquitted on charges of unrelated sexual offenses,A German court on Tuesday acquitted a man who is also under investigation in the 2007 disappearance of British toddler Madeleine McCann in a trial on charges of unrelated sexual offenses. The Braunschweig state court acquitted the 47-year-old German natio... [369 symbols],No Sale
"DS Smith, the target of a $7B acquisition, innovates in Atlanta","It’s the latest in a recent string of large mergers and acquisitions across the paper and shipping industries, many of which involved Atlanta-based companies. David McCracken, business unit director at DS Smith, said his company’s patented water-resistant... [2568 symbols]",Sale
German court acquits McCann suspect of unrelated sexual offense charges,"Christian Brueckner, center, stands in the courtroom at Braunschweig District Court before the start of the trial, in Brunswick, Germany, Tuesday Oct. 8, 2024. (Michael Matthey/dpa via AP)

BRAUNSCHWEIG, Germany (AP) — A German court on Tuesday acquitted ... [1850 symbols]",No Sale
Main suspect in McCann disappearance acquitted in separate rape and abuse trial,"The main suspect in the disappearance of the British toddler Madeleine McCann has been found not guilty of all charges in a separate rape and sexual abuse case.

Christian Brückner, 47, was acquitted by the district court in Braunschweig, northern Germany... [2006 symbols]",No Sale
Blue Owl co-CEO Marc Lipschultz on IPI Partners acquisition,"Marc Lipschultz, Blue Owl co-CEO, joins 'Money Movers' to discuss the company's deal with IPI Partners, if Blue Owl will keep operating in the data center space, and the energy supply needed for the data center story.",No Sale
One of Napa’s highest-profile wine companies to be acquired by private equity,"One of California’s highest-profile wine companies will soon have a new owner. The Duckhorn Portfolio, which includes brands like Duckhorn, Sonoma-Cutrer and Kosta Browne, will be acquired by private equity firm Butterfly Equity in an all-cash deal that v... [2829 symbols]",No Sale
Lawyers for McCann suspect seek acquittal in his German trial on unrelated sexual offense charges,"BERLIN (AP) — Lawyers for a man who is also under investigation in the 2007 disappearance of British toddler Madeleine McCann called Monday for him to be acquitted in his trial on charges of unrelated sexual offenses.

Prosecutors last week urged the Brau... [1824 symbols]",No Sale
Amazon Merges India’s MX Player Into Free Streaming Service – Global Bulletin,"Amazon India has completed the deal to acquire assets of MX Player, including its app, and is combining it with its AVOD platform Amazon miniTV to create a new free streaming service called Amazon MX Player. The merged platform has over 250 million unique... [2106 symbols]",Sale
Key Royals acquisitions helped lead team on unlikely trip to playoffs,"The MVP of the Royals’ last World Series winner wanted to know last season how far away his team was from competing again.

General manager J.J. Picollo didn’t lie to franchise great Salvador Perez, who made his name as a Mets-killer in October 2015.

Why... [3042 symbols]",No Sale
"Ex- Virginia cop who killed shoplifting suspect acquitted of manslaughter, guilty on firearm charge","FAIRFAX, Va. (AP) — A jury on Friday acquitted a former police officer in Virginia of involuntary manslaughter after he fatally shot a shoplifting suspect outside a busy shopping mall.

But the jury did convict the former police sergeant, Wesley Shifflett... [3871 symbols]",No Sale
Exclusive: Star Wars memorabilia collections weigh merger and new Bay Area museum,"Star Wars may be set in a galaxy far, far away, but for many fans its spiritual home is right here in the Bay Area, the location of George Lucas’ Lucasfilm studio, where the visionary director conceived and created the smash sci-fi series.

Now San Franci... [3154 symbols]",No Sale
From AOL Time Warner to DirecTV and Dish: 20 years of media mergers,"This week, DirecTV announced it intends to buy Dish, Sling TV, and the rest of EchoStar’s television business for a dollar (while also taking on all of Dish’s debt), combining almost 20 million satellite TV subscribers from two companies that have been ci... [1919 symbols]",No Sale
Aaron Rodgers on Jets possibly acquiring Davante Adams: ‘He’s a great guy and a great player and the rest is out of my hands’,Aaron Rodgers on Jets possibly acquiring Davante Adams: ‘He’s a great guy and a great player and the rest is out of my hands’,No Sale
"‘Disorder,’ Anthology Film Depicting Turbulent Life in Lebanon, Acquired for World Sales by Front Row Ahead of El Gouna Fest Premiere","Dubai-based distributor Front Row Filmed Entertainment has acquired world rights to anthology film “Disorder,” which depicts different aspects of Lebanon’s recent turbulence and the toll taken by the country’s disarray on its new generations.

The timely ... [2701 symbols]",No Sale
"Luca Guadagnino’s ‘Queer,’ Starring Daniel Craig, Acquired by Mubi for U.K., Mexico, Germany and More","Mubi has acquired “Queer,” Luca Guadagnino’s trippy adaptation of the William S. Burroughs novel that recently bowed in competition in Venice, in a major multi-territory deal.

In another bold statement of intent, the fast-rising arthouse distributor, str... [2559 symbols]",No Sale
"Officers in Tyre Nichols death convicted of fatal beating, acquitted of federal charges","The three former Memphis, Tenn., police officers involved in the fatal beating of Tyre Nichols were convicted on Thursday of charges of witness tampering but two were acquitted of federal civil rights violations.

Tadarrius Bean, Demetrius Haley and Justi... [3273 symbols]",No Sale
"Jury Acquits Two Officers Of Violating Tyre Nichols’ Civil Rights, But Convicts On Other Charges","A federal jury acquitted two former Memphis police officers on Thursday for violating the civil rights of Tyre Nichols, a 29-year-old Black man, in January 2023 during a traffic stop just minutes away from his parents’ home. They were convicted on witness... [2886 symbols]",No Sale
"‘Riefenstahl,’ Documentary About Nazi Propagandist and Filmmaker Leni Riefenstahl, Acquired by Kino Lorber for North America","Kino Lorber has acquired North American rights to Andres Veiel’s Venice prizewinning documentary “Riefenstahl,” a critical portrait of Leni Riefenstahl, a filmmaker and Nazi propagandist who was close to Adolf Hitler.

Kino Lorber is planning a theatrical... [2680 symbols]",No Sale
Intesa CEO says rival Unicredit can create value through a merger with Commerzbank,"MILAN, Oct 3 (Reuters) - Intesa Sanpaolo Chief Executive Carlo Messina said on Thursday Unicredit (CRDI.MI) can create value through a merger with Commerzbank (CBKG.DE) , as the Italian rival bank already runs a large banking business in Germany.

That's ... [363 symbols]",No Sale
Testimony resumes Thursday in the trial to block the merger between King Soopers and Albertson's,Testimony resumes Thursday in the trial to block the merger between King Soopers and Albertson's Testimony was set to resume Thursday in the trial to block the merger between King Soopers and Albertson's.,No Sale
"Rumours of Stellantis-Renault merger are 'pure speculation', says Stellantis CEO","SOCHAUX, France, Oct 3 (Reuters) - Rumours about a merger between Stellantis (STLAM.MI) and Renault (RENA.PA) are ""pure speculation,"" said Stellantis CEO Carlos Tavares on Thursday, as he visited one of the French-Italian automaker's hubs in eastern Franc... [257 symbols]",No Sale
Better Earth acquires software provider Betterbin,"Better Earth, a compostable food packaging producer, acquired SaaS platform Betterbin to better track packaging and cut waste in landfills, CEO Joseph Bild tells Axios exclusively. Why it matters: Food service packaging is one of the biggest contributors ... [1704 symbols]",Sale
Fifth locally acquired case of dengue reported in Los Angeles,"Los Angeles County health officials have reported another case of locally acquired dengue, bringing the tally to five patients in the past two months.

The Department of Public Health says that the patient, a resident of El Monte, does not appear to have ... [1905 symbols]",No Sale
"Portland community radio station XRAY.FM acquires 107.1 signal, plans Oregon coast expansion","Portland community radio station XRAY.FM has bought the rights to its 107.1 FM signal after years of renting the frequency, cementing its place in Portland’s media landscape.

The station launched a $135,000 fundraiser during its 10-year anniversary in Ap... [2825 symbols]",Sale
Fifth Case Of Locally Acquired Dengue Confirmed In LA County,"The person, who lives in El Monte, had no history of traveling to areas where dengue is endemic, officials said. This case is not related to the cluster of three confirmed cases that were previously reported on Sept. 18 or the case that was reported in Pa... [3082 symbols]",No Sale
British Land acquires $585 mln retail parks portfolio,"Oct 2 (Reuters) - Property firm British Land Co Plc (BLND.L) said on Wednesday it has acquired a portfolio of seven retail parks for 441 million pounds ($585.34 million).

The company also announced a proposed equity placing to raise about 300 million pou... [381 symbols]",Sale
"Okaloosa County, Florida approves tentative agreement to acquire SS United States","After weeks of uncertainty surrounding the fate of the SS United States, the Okaloosa County Board of County Commissioners has approved a contingent contract to acquire the famed ship and sink it off the coast of Florida.

On Tuesday, Oct. 1, the Florida ... [3183 symbols]",No Sale
Florida county approves contingent contract to acquire the SS United States,"After weeks of uncertainty surrounding the fate of the SS United States, the Okaloosa County Board of County Commissioners has approved a contingent contract to acquire the famed ship and sink it off the coast of Florida.",No Sale
Qatar wealth fund to merge domestic fibre network with cable business,"DUBAI, Oct 2 (Reuters) - Qatar's sovereign wealth fund said on Wednesday it plans to merge the telecommunications businesses of Qatar National Broadband Network (QNBN) and Gulf Bridge International (GBI), to build a national leader as competition intensif... [1231 symbols]",No Sale
Law firm Fennemore touts AI-fueled fee options with new merger,Oct 1 (Reuters) - U.S. law firm Fennemore Craig said on Tuesday that it has absorbed a small technology-focused law firm as part of a push to integrate artificial intelligence into its work and give clients more alternative pricing options such as flat fe... [2809 symbols],Sale
NAI Farbman Brokers Unique Office Acquisition,"FARMINGTON HILLS, Mich. (Oct. 1, 2024)—NAI Farbman, the brokerage arm of Midwest full-service commercial real estate company Farbman Group, supported three companies in the gifting and trading of a 114,397-square-foot Class-A office building located at 28... [3344 symbols]",No Sale
Atlanta acquires Mall West End for massive redevelopment project,"Last year, plans to transform the 12-acre site into a mixed-use community with 900 apartments hit a roadblock after developers, including BRP Companies, filed a notice to terminate a contract with the mall’s ownership.

Now, the ambitious multiyear projec... [1562 symbols]",No Sale
CAA Acquires Hanold Associates Executive Search Firm,"CAA has acquired executive search firm Hanold Associates as the Hollywood powerhouse agency looks to beef up its headhunting practice.

Hanold was co-founded in 2010 by Neela Seenandan and Jason Hanold. The company has a team of 20 staffers who focus on r... [1859 symbols]",Sale
"Signature Acquires Scott Adkins, Iko Uwais Action Sci-Fi Sequel ‘Skyline: Warpath’ for U.K.","Signature Entertainment has acquired the U.K. and Irish rights to “Skyline: Warpath” the action sci-fi sequel starring Scott Adkins (“John Wick: Chapter 4”) and Iko Uwais (“The Raid” franchise) from Palisades Park Pictures.

Written and directed by Liam O... [2027 symbols]",No Sale
Fidelity Slashes Valuation of X/Twitter by 79% Since Elon Musk's Acquisition,"Investment giant Fidelity has marked down the value of its stake in Elon Musk’s X, formerly known as Twitter, by a staggering 78.7 percent as of the end of August, implying an overall valuation of just $9.4 billion for the social media platform that Musk ... [1925 symbols]",No Sale
DirecTV CEO on Dish and Sling TV acquisition from EchoStar,"DirecTV CEO on Dish and Sling TV acquisition from EchoStar

Bill Morrow, DirecTV CEO, joins 'Squawk on the Street' to discuss why DirecTV completed its recent deal with EchoStar, why the antitrust view of this deal has changed, and much more.",No Sale
"MSNBC Films Acquires Errol Morris’ ‘Separated,’ Officially Entering Into the Doc Oscar Race","Focusing on the Trump administration’s inhumane policy of separating children from their parents at the U.S.-Mexico border, the docu had its world premiere at the Venice Film Festival in August, which was followed by a screening at the Telluride Film Fest... [3289 symbols]",No Sale
"FTC seeks to block Kate Spade, Michael Kors merger",null,No Sale
Documentary+ Acquires Shortform Photography Doc ‘Eat Flowers’ – Film News in Brief,"Nonfiction streaming platform Documentary+ has acquired River Finlay’s documentary short “Eat Flowers.” The Oscar-qualified film will debut on major streamers and the Documentary+ Fast channel on Wednesday.

According to an official logline, “Eat Flowers”... [3105 symbols]",No Sale
Rally organized in Denver to protest the merger between Kroger and Albertson's,"Rally organized in Denver to protest the merger between Kroger and Albertson's Outside the City County Building in Denver, a rally was organized to protest the merger between Kroger and Albertson's.",No Sale
First Tech announces merger with a Massachusetts credit union,"A Bay Area credit union with a large office in Washington County has announced plans to merge with a Massachusetts credit union.

If the merger closes, the combination of First Tech Federal Credit Union and Digital Federal Credit Union would create a fina... [2868 symbols]",No Sale
DirecTV and Dish Network to merge in mega-satellite deal,"DirecTV is buying rival Dish Network for $1 as part of a major shift for the satellite provider.

AT&T is also selling its majority stake in DirecTV to private equity firm TPG Partners for $7.6 billion, ending the communication giant’s remaining ties to t... [1454 symbols]",Sale
"M&A activity 'a mixed bag,' says head of Mergermarket",null,No Sale
"Former boxer who served world's longest sentence on death row speaks out after murder acquittal: ""Finally I have won""","Man gets $7 million settlement after being wrongfully imprisoned for nearly 50 years

The world's longest-serving death row prisoner thanked his supporters for helping him achieve ""complete victory"" after a Japanese court last week overturned his decades-... [3914 symbols]",No Sale
Exclusive: Optimizely agrees to acquire NetSpring,"Optimizely, a marketing software company, has agreed to buy analytics platform NetSpring for $40 million as it grows its experimentation platform and other tools, Axios has learned. Why it matters: The acquisition is driven by marketers' demands for more ... [2162 symbols]",No Sale
DirecTV and Dish agree to a merger,"DirecTV announced Monday it’s buying rival Dish Network, ending multiple decades of on-and-off talks about the satellite services merging.

The companies said the “combination of DirecTV and Dish will benefit US video consumers by creating a more robust c... [1101 symbols]",No Sale
AT&T sells DirecTV stake in blockbuster pay TV merger,"AT&T is selling its 70% stake in DirecTV in a seismic deal for the satellite television world that will make the combined provider the biggest pay-TV provider in the U.S.

Under the terms of the transaction, DirecTV will acquire Dish from its owner EchoSt... [3253 symbols]",No Sale
Major mobile providers promise not to hike bills for customers ahead of merger,"TWO major mobile phone providers have promised not to push up monthly bills for millions of customers ahead of their proposed merger.

Three and Vodafone have said that they will maintain certain social tariffs at £10 or less for two years from the date t... [6458 symbols]",No Sale
DirecTV to Acquire Dish in Merger of Satellite TV Rivals,"DirecTV and Dish Network, longtime satellite TV adversaries, are set to merge. DirecTV announced a deal with Dish parent company EchoStar to acquire Dish in a deal valued at nearly $10 billion.

Under the terms of the purchase agreement, DirecTV will acqu... [3548 symbols]",No Sale
Mubi Acquires Alex Ross Perry’s ‘Pavements’ for Multiple Territories Following Venice Premiere,"Mubi has acquired “Pavements,” Alex Ross Perry‘s unconventional documentary-musical-biopic about cult 90s slacker band Pavement, for multiple territories following its recent world premiere at the Venice Film Festival.

The arthouse distributor, streamer ... [2707 symbols]",No Sale
Former city worker acquitted of killing her son by reason of insanity: court records,"A South Side woman accused of fatally shooting her young son during an apparent mental health emergency in 2021 was acquitted of murder charges by reason of insanity earlier this month, according to court documents.

Fallon C. Harris, 40, was acquitted of... [1982 symbols]",No Sale
Knicks nearing deal to acquire Karl-Anthony Towns from Timberwolves in stunning blockbuster,"New York is on the verge of acquiring Karl-Anthony Towns from the Timberwolves in exchange for Julius Randle and Donte DiVincenzo, Shams Charania of The Athletic reported.

Towns, playing on a four-year, $220.4 million contract, has three more years of te... [300 symbols]",No Sale
"Two small central Minnesota banks merge, increase lending limit to $6.2M","Two central Minnesota banks are merging to bolster the size and resources of the community institutions.

First State Bank of Sauk Centre and Little Falls-based Pine Country Bank will operate as Pine Country Bank, per a Monday announcement. Regulatory aut... [1332 symbols]",Sale
"DirecTV, Dish reportedly close to reaching a merger agreement — which could bring in more than 20M subscribers","DirecTV and Dish are in advanced talks to merge in a deal that could create the largest US pay-TV provider, with more than 20 million subscribers, according to multiple reports.

The agreement could be announced as early as Monday, The Wall Street Journal... [1700 symbols]",No Sale
"Ajay Devgn, Deepika Padukone, Ranveer Singh’s ‘Singham Again’ International Distribution Rights Acquired by Phars Film","Phars Film (PHF) has locked down the overseas theatrical distribution rights for “Singham Again,” the upcoming tentpole from Jio Studios, the content arm of billionaire Mukesh Ambani’s Reliance Industries Limited. The action thriller, helmed by hitmaker R... [2756 symbols]",No Sale
Auto part maker Schaeffler announces new CFO ahead of planned merger,"Sept 27 (Reuters) - German car part maker Schaeffler (SHA_p.DE) on Friday announced the appointment of Christophe Hannequin as its new Chief Financial Officer.

Current CFO Claus Bauer will remain in his role until August 31, 2025 with Hannequin assuming ... [809 symbols]",No Sale
Steelers' Justin Fields reveals which teams expressed interest in acquiring his services this past offseason,A change of scenery seems to have worked out for quarterback Justin Fields.The 25-year-old's time with the Chicago Bears came to an end when the team agreed to a trade with the Pittsburgh Steelers in March. The Bears received a conditional draft pick in e... [2543 symbols],No Sale
San Francisco Rave Doc ‘Between The Beats’ Acquired by Gravitas Ventures for U.S. and Canada,"Indie film distributor Gravitas Ventures has secured U.S. and Canadian rights to “Between The Beats,” a feature documentary chronicling San Francisco‘s early 1990s rave scene and its lasting impact on the Bay Area.

Directed by Martin O’Brien and produced... [1822 symbols]",No Sale
"OHSU, Legacy Health submit merger plans for state approval, say review could take months",Oregon Health & Science University and Legacy Health on Thursday submitted their definitive merger plans to state health officials for regulatory review. The news comes more than a year after OHSU and Legacy announced plans to join forces. The two Portlan... [774 symbols],No Sale
Colorado Attorney General Phil Weiser continues to try to block merger between Kroger and Albertson',Colorado Attorney General Phil Weiser continues to try to block merger between Kroger and Albertson' Colorado Attorney General Phil Weiser says he will continue with a lawsuit to try to block the merger between Kroger and Albertson's.,No Sale
Producer Jonathan Saba Acquires Film Rights to NBA Betting Exposé ‘Gaming The Game’,"Producer Jonathan Saba (“Butcher’s Crossing,” “Jay and Silent Bob Reboot”) has acquired adaptive rights to Sean Patrick Griffin’s novel “Gaming The Game: The Story of the NBA Betting Scandal and the Gambler Who Made It Happen.” Saba will produce with a sc... [1632 symbols]",No Sale
Florida county votes to acquire SS United States and sink it to create artificial reef,"Days after a judge temporarily suspended the deadline for the SS United States to leave its dock in South Philadelphia, a county in Florida says it has the money in place to acquire the historic ship.

At a meeting in Okaloosa County, Florida, on Tuesday.... [1168 symbols]",No Sale
"Netflix acquires rights to ""The Turnaround,"" a documentary about Trea Turner's standing ovation","A short documentary reliving the standing ovation that turned Phillies shortstop Trea Turner's first season in Philadelphia around is coming to Netflix in October.

The streaming giant acquired rights to ""The Turnaround,"" a short film produced by Philadel... [2935 symbols]",No Sale
Death row inmate tucks into fruit salad to celebrate acquittal,The world's longest serving death row inmate was captured enjoying a fruit salad and a head massage from his sister after a Japanese court found the 88-year-old former boxer not guilty on Thursday more than half a century after his 1968 murder conviction.... [6221 symbols],No Sale
"Nvidia is missing key technology and could acquire these stocks to get it, says Susquehanna analyst","Nvidia might have to look outside of its artificial intelligence empire to acquire some key data center-related technologies, according to Susquehanna Financial Group. Analyst Christopher Rolland said Nvidia has ""two glaring holes"" for potential acquisiti... [2443 symbols]",No Sale
"Schaeffler to implement job cuts after Vitesco merger, reports WirtschaftsWoche","Sept 26 (Reuters) - German machine and car parts maker Schaeffler (SHA_p.DE) is to implement job cuts as part of its merger with German EV components maker Vitesco (VTSCn.DE) , the firm's CEO Klaus Rosenfeld told German business weekly WirtschaftsWoche on... [715 symbols]",Sale
Exclusive: Ad tech firm Equativ acquires Kamino Retail,"Equativ, the French ad tech company backed by Bridgepoint, has acquired media platform Kamino Retail, Axios has learned. Why it matters: The deal comes as retail media is expected to grow 22% to $140 billion globally in 2024, per eMarketer.

How it works:... [2344 symbols]",Sale
88-year-old former boxer — world's longest-serving death row inmate — is acquitted of 1966 murders in Japan,"A Japanese court ruled Thursday that an 88-year-old former boxer was not guilty in a retrial for a 1966 quadruple murder, reversing an earlier decision that made him the world's longest-serving death row inmate.

Iwao Hakamada's acquittal by the Shizuoka ... [6819 symbols]",No Sale
Japanese man acquitted of 1966 murders after 45 years on death row,"TOKYO, Sept 26 (Reuters) - A Japanese man said to have spent the world's longest time on death row was acquitted of murder on Thursday, broadcaster NHK said, ending his family's search for justice after a wrongful conviction for crimes committed nearly 60... [1765 symbols]",No Sale
Japanese man acquitted after 46 years on death row for quadruple murder,"A court in Japan has acquitted an 88-year-old former boxer after he spent nearly 46 years on death row for a quadruple murder.

Iwao Hakamada, a professional boxer, was accused in 1966 of killing four people, including two children, and burning down their... [927 symbols]",No Sale
"World's longest-serving death row inmate, 88, is ACQUITTED","The world's longest-serving death row prisoner was acquitted by a Japanese court on Thursday, more than half a century after his 1968 murder conviction.

The Shizuoka District Court ruled that 88-year-old Iwao Hakamada was not guilty in a retrial obtained... [3860 symbols]",No Sale
Iwao Hakamada: World's longest-serving death row inmate acquitted in Japan,"Iwao Hakamada has been awaiting his potential execution for 56 years

An 88-year-old man who is the world’s longest-serving death row inmate has been acquitted by a Japanese court.

Iwao Hakamada, who was on death row for nearly half a century, was found ... [675 symbols]",No Sale
Trump-linked think tank merges with Senate Working Group,"With the possible reelection of Trump, the organization is looking to deepen its ties to Senate Republicans, who would play a major role in approving his policy agenda.

The conservative nonprofit, which is led by Republican operative James Kimmey, was es... [1363 symbols]",No Sale
Radiohead’s Thom Yorke Merges ‘Hamlet’ with ‘Hail to the Thief’ for Dystopian Stage Adaptation,"Radiohead frontman Thom Yorke is collaborating with directors Steven Hoggett and Christine Jones on “Hamlet Hail to the Thief,” a new theater adaptation of Shakespeare’s tragedy incorporating music from Radiohead’s 2003 album “Hail to the Thief.”

Describ... [2300 symbols]",No Sale
"Cleveland Museum of Art acquires ancient Greek bronze helmet, works by Tanning,  Rembrandt van Rijn","CLEVELAND, Ohio –The Cleveland Museum of Art (CMA) has announced the acquisition of three new pieces to add to its robust collection – including an ancient Greek helmet, an oil painting by Dorothea Tanning and a drypoint etching by Rembrandt van Rijn.

Th... [2356 symbols]",No Sale
Soros' Acquisition of 200 US Radio Stations Ahead of Election Being Fast-Tracked by FCC,"George Soros’ bid to acquire hundreds of radio stations has not only been allowed to go ahead, but is being fast-tracked by the government agency regulating the airwaves.

The move appears to be driven by a Democratic majority sitting on an agency panel.
... [3308 symbols]",No Sale
